收藏品名称,皮肤名称,品质,磨损区间,磨损,buff_goods_id,收藏品英文名称,品质代码,市场哈希名称,crate_id,price_buff
CS20 Case,AWP | 野火,隐秘级,0.01 ~ 0.7,崭新出厂,773715,CS20 Case,rarity_ancient_weapon,AWP | Wildfire,crate-4669,1117.99
Danger Zone Case,AK-47（StatTrak™） | 二西莫夫,隐秘级,0.05 ~ 0.7,久经沙场,763355,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AK-47 | Asiimov,crate-4548,435.0
Danger Zone Case,AK-47（StatTrak™） | 二西莫夫,隐秘级,0.05 ~ 0.7,破损不堪,763487,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AK-47 | Asiimov,crate-4548,525.85
Danger Zone Case,AK-47（StatTrak™） | 二西莫夫,隐秘级,0.05 ~ 0.7,战痕累累,763505,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AK-47 | Asiimov,crate-4548,445.74
Danger Zone Case,AWP | 黑色魅影,隐秘级,0 ~ 0.5,崭新出厂,763243,Danger Zone Case,rarity_ancient_weapon,AWP | Neo-Noir,crate-4548,357.5
Danger Zone Case,AWP | 黑色魅影,隐秘级,0 ~ 0.5,略有磨损,763400,Danger Zone Case,rarity_ancient_weapon,AWP | Neo-Noir,crate-4548,293.99
Danger Zone Case,AWP | 黑色魅影,隐秘级,0 ~ 0.5,久经沙场,763332,Danger Zone Case,rarity_ancient_weapon,AWP | Neo-Noir,crate-4548,267.5
Danger Zone Case,AWP | 黑色魅影,隐秘级,0 ~ 0.5,破损不堪,763404,Danger Zone Case,rarity_ancient_weapon,AWP | Neo-Noir,crate-4548,275.0
Danger Zone Case,AWP | 黑色魅影,隐秘级,0 ~ 0.5,战痕累累,763318,Danger Zone Case,rarity_ancient_weapon,AWP | Neo-Noir,crate-4548,255.98
Danger Zone Case,AWP（StatTrak™） | 黑色魅影,隐秘级,0 ~ 0.5,崭新出厂,763420,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AWP | Neo-Noir,crate-4548,627.99
Danger Zone Case,AWP（StatTrak™） | 黑色魅影,隐秘级,0 ~ 0.5,略有磨损,763423,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AWP | Neo-Noir,crate-4548,470.2
Danger Zone Case,AWP（StatTrak™） | 黑色魅影,隐秘级,0 ~ 0.5,久经沙场,763429,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AWP | Neo-Noir,crate-4548,350.0
Danger Zone Case,AWP（StatTrak™） | 黑色魅影,隐秘级,0 ~ 0.5,破损不堪,763514,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AWP | Neo-Noir,crate-4548,399.0
Danger Zone Case,AWP（StatTrak™） | 黑色魅影,隐秘级,0 ~ 0.5,战痕累累,763488,Danger Zone Case,rarity_ancient_weapon,StatTrak™ AWP | Neo-Noir,crate-4548,369.9
Dreams & Nightmares Case,AK-47 | 夜愿,隐秘级,0 ~ 1,崭新出厂,887070,Dreams & Nightmares Case,rarity_ancient_weapon,AK-47 | Nightwish,crate-4818,771.48
Dreams & Nightmares Case,AK-47 | 夜愿,隐秘级,0 ~ 1,略有磨损,886753,Dreams & Nightmares Case,rarity_ancient_weapon,AK-47 | Nightwish,crate-4818,459.5
Dreams & Nightmares Case,AK-47 | 夜愿,隐秘级,0 ~ 1,久经沙场,886981,Dreams & Nightmares Case,rarity_ancient_weapon,AK-47 | Nightwish,crate-4818,438.5
Dreams & Nightmares Case,AK-47 | 夜愿,隐秘级,0 ~ 1,破损不堪,887021,Dreams & Nightmares Case,rarity_ancient_weapon,AK-47 | Nightwish,crate-4818,429.46
Dreams & Nightmares Case,AK-47 | 夜愿,隐秘级,0 ~ 1,战痕累累,887029,Dreams & Nightmares Case,rarity_ancient_weapon,AK-47 | Nightwish,crate-4818,397.46
Dreams & Nightmares Case,AK-47（StatTrak™） | 夜愿,隐秘级,0 ~ 1,崭新出厂,887090,Dreams & Nightmares Case,rarity_ancient_weapon,StatTrak™ AK-47 | Nightwish,crate-4818,974.97
Dreams & Nightmares Case,AK-47（StatTrak™） | 夜愿,隐秘级,0 ~ 1,略有磨损,887058,Dreams & Nightmares Case,rarity_ancient_weapon,StatTrak™ AK-47 | Nightwish,crate-4818,475.0
Dreams & Nightmares Case,AK-47（StatTrak™） | 夜愿,隐秘级,0 ~ 1,久经沙场,887057,Dreams & Nightmares Case,rarity_ancient_weapon,StatTrak™ AK-47 | Nightwish,crate-4818,390.5
Dreams & Nightmares Case,AK-47（StatTrak™） | 夜愿,隐秘级,0 ~ 1,破损不堪,887080,Dreams & Nightmares Case,rarity_ancient_weapon,StatTrak™ AK-47 | Nightwish,crate-4818,388.0
Dreams & Nightmares Case,AK-47（StatTrak™） | 夜愿,隐秘级,0 ~ 1,战痕累累,887072,Dreams & Nightmares Case,rarity_ancient_weapon,StatTrak™ AK-47 | Nightwish,crate-4818,380.0
Dreams & Nightmares Case,MP9 | 星使,隐秘级,0 ~ 0.8,崭新出厂,887008,Dreams & Nightmares Case,rarity_ancient_weapon,MP9 | Starlight Protector,crate-4818,633.0
