皮肤名称,市场哈希名称,平台,平台物品ID
加利尔AR（StatTrak™） | 冷石 (战痕累累),StatTrak™ Galil AR | Stone Cold (Battle-Scarred),YOUPIN,51116
加利尔AR（StatTrak™） | 冷石 (战痕累累),StatTrak™ Galil AR | Stone Cold (Battle-Scarred),C5,22349
加利尔AR（StatTrak™） | 冷石 (战痕累累),StatTrak™ Galil AR | Stone Cold (Battle-Scarred),BUFF,38689
加利尔AR（StatTrak™） | 冷石 (战痕累累),StatTrak™ Galil AR | Stone Cold (Battle-Scarred),HALOSKINS,22349
法玛斯（StatTrak™） | 神经网 (略有磨损),StatTrak™ FAMAS | Neural Net (Minimal Wear),C5,22350
法玛斯（StatTrak™） | 神经网 (略有磨损),StatTrak™ FAMAS | Neural Net (Minimal Wear),BUFF,38523
法玛斯（StatTrak™） | 神经网 (略有磨损),StatTrak™ FAMAS | Neural Net (Minimal Wear),YOUPIN,3329
法玛斯（StatTrak™） | 神经网 (略有磨损),StatTrak™ FAMAS | Neural Net (Minimal Wear),HALOSKINS,22350
CZ75自动型 | 黄夹克 (略有磨损),CZ75-Auto | Yellow Jacket (Minimal Wear),BUFF,34366
CZ75自动型 | 黄夹克 (略有磨损),CZ75-Auto | Yellow Jacket (Minimal Wear),YOUPIN,47390
CZ75自动型 | 黄夹克 (略有磨损),CZ75-Auto | Yellow Jacket (Minimal Wear),C5,22351
CZ75自动型 | 黄夹克 (略有磨损),CZ75-Auto | Yellow Jacket (Minimal Wear),HALOSKINS,22351
M4A1消音版 | 澄澈之水 (久经沙场),M4A1-S | Bright Water (Field-Tested),BUFF,35182
M4A1消音版 | 澄澈之水 (久经沙场),M4A1-S | Bright Water (Field-Tested),C5,22352
M4A1消音版 | 澄澈之水 (久经沙场),M4A1-S | Bright Water (Field-Tested),YOUPIN,3878
M4A1消音版 | 澄澈之水 (久经沙场),M4A1-S | Bright Water (Field-Tested),HALOSKINS,22352
AWP | 狩猎网格 (战痕累累),AWP | Safari Mesh (Battle-Scarred),BUFF,34128
AWP | 狩猎网格 (战痕累累),AWP | Safari Mesh (Battle-Scarred),YOUPIN,426
AWP | 狩猎网格 (战痕累累),AWP | Safari Mesh (Battle-Scarred),C5,22353
AWP | 狩猎网格 (战痕累累),AWP | Safari Mesh (Battle-Scarred),HALOSKINS,22353
